name,email,phone,dob,credit card type
Kasidit Treweek,Treweek@cohera.com,,,, 
Harpreet Mahony,Mahony@nodak.edu,,,, 
Dannz Heering,Heering@lante.com,,,amex, 
Sujit Azevdeo,Azevdeo@co.in,,1999,, 
Makram Nahapetian,Nahapetian@uni-mb.si,,,, 
Laurian Kang,Kang@nodak.edu,,,, 
Junji Furudate,Furudate@ou.edu,,,, 
Mehrdad Herberle,Herberle@edu.au,,,, 
Naomi Kwedlo,Kwedlo@cohera.com,,,, 
Merrick Rapin,Rapin@csufresno.edu,,1999,, 
Duri Allison,Allison@microsoft.com,,1980,, 
Manjit O'Reagan,O'Reagan@ucdavis.edu,,,dinersclub, 
Kyungsook Schatz,Schatz@sleepycat.com,,,, 
Jent Rodiger,Rodiger@uqam.ca,,1988,, 
LouAnn Mulvany,Mulvany@ucla.edu,,1999,maestro, 
Saeeiab Skogmar,Skogmar@labs.com,,,, 
Swaroop Schieder,Schieder@uregina.ca,,,, 
Yasuharu Broll,Broll@arizona.edu,,,, 
Keumog Gellerich,Gellerich@ab.ca,,,, 
Rattasit Brookman,Brookman@edu.sg,,1976,, 
Gift Polupanov,Polupanov@rutgers.edu,,,mastercard, 
Eleanna Loulergue,Loulergue@imag.fr,,,, 
Gerardine Mandell,Mandell@yorku.ca,,,, 
Taokuan Oksanen,Oksanen@ucsb.edu,,,, 
Krisda Tyugu,Tyugu@att.com,,,mastercard, 
Kendra Kumaresan,Kumaresan@llnl.gov,,,jcb, 
Reva Aseltine,Aseltine@mit.edu,,,, 
Giansalvatore Eilertsen,Eilertsen@dec.com,,,, 
Gaochao Spirkovska,Spirkovska@clustra.com,,,, 
Naftali Thimonier,Thimonier@pi.it,,,, 
